,name,id,top_kpop,genre,followers,name_lower
0,BTS,3Nrfpe0tUJi4K4DXYWgMUX,1,"['k-pop', 'k-pop boy group', 'pop']",64752045,bts
1,Jimin,1oSPZhvZMIrWW5I41kPkkY,1,['k-pop'],5246710,jimin
2, JVKE,164Uj4eKjl6zTBKfJLFKKK,0,"['modern indie pop', 'pov: indie']",2302844,jvke
3, Kodak Black,46SHBwWsqBkxI7EeeBEQG7,0,"['florida drill', 'florida rap', 'melodic rap', 'miami hip hop', 'rap', 'trap', 'trap latino']",9290954,kodak black
4, NLE Choppa,0ErzCpIMyLcjPiwT4elrtZ,0,"['memphis hip hop', 'rap']",6153597,nle choppa
5, Muni Long,7tjVFCxJdwT4NdrTmjyjQ6,0,['indie r&b'],242130,muni long
7,Jung Kook,6HaGTQPmzraVmaVxvz6EUc,1,['k-pop'],7293779,jung kook
9, FIFA Sound,5C01hDqpEmrmDfUhX9YWsH,0,[],167771,fifa sound
11,benny blanco,5CiGnKThu5ctn9pBxv7DGa,0,['pop'],1048105,benny blanco
13, Snoop Dogg,7hJcb9fa4alzcOq3EaNPoG,0,"['g funk', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'west coast rap']",9674113,snoop dogg
15,Charlie Puth,6VuMaDnrHyPL1p4EHjYLi7,0,"['pop', 'viral pop']",20213766,charlie puth
19,Coldplay,4gzpq5DPGxSnKTe4SA8HAU,0,"['permanent wave', 'pop']",44068819,coldplay
21, David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,0,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']",25985974,david guetta
25, Galantis,4sTQVOfp9vEMCemLw50sbu,0,"['dance pop', 'edm', 'pop', 'pop dance', 'tropical house']",3356599,galantis
32, SUGA,0ebNdVaOfp6N0oZ1guIxM8,0,['k-pop'],2333423,suga
34, Megan Thee Stallion,181bsRPaVXVlUKXrxwZfHK,0,"['houston rap', 'pop', 'rap', 'trap queen']",7682516,megan thee stallion
36,Jawsh 685,56mfhUDKa1vec6rSLZV5Eg,0,['nz pop'],110391,jawsh 685
37, Jason Derulo,07YZf4WDAMNwqr4jfgOZ8y,0,"['dance pop', 'pop']",11822509,jason derulo
40,Halsey,26VFTg2z8YR0cCuwLzESi2,0,"['electropop', 'etherpop', 'indie poptimism', 'pop']",20133665,halsey
44, Lauv,5JZ7CnR6gTvEMKX4g70Amv,0,['pop'],5725991,lauv
45, Frants,7qxLQ0CByGfbd3HdL7ilR8,0,[],604,frants
49,Lil Nas X,7jVv8c5Fj3E9VhNjxT4snq,0,['lgbtq+ hip hop'],12416476,lil nas x
50, RM,2auC28zjQyVTsiZKNgPRGs,1,['k-rap'],13576102,rm
53, Juice WRLD,4MCBfE4596Uoi2O4DtmEMz,0,"['chicago rap', 'melodic rap', 'rap']",29057830,juice wrld
55, Zara Larsson,1Xylc3o4UrD53lo9CvFvVg,0,"['pop', 'scandipop', 'swedish electropop', 'swedish pop']",10386278,zara larsson
57, Charli XCX,25uiPmTg16RbhZWAqwLBy5,0,"['art pop', 'candy pop', 'metropopolis', 'pop', 'uk pop']",2848872,charli xcx
59, PDOGG,5twg8ZDFT6UZeGqpEJTHfr,0,[],1031,pdogg
63,Steve Aoki,77AiFEVeAVj2ORpC85QVJs,0,"['edm', 'electro house', 'pop dance']",3750484,steve aoki
66, Desiigner,7pFeBzX627ff0VnN6bxPR4,0,"['pop rap', 'rap', 'southern hip hop', 'trap', 'viral trap']",3480815,desiigner
68,BLACKPINK,41MozSoPIsD1dJM0CLPjZF,1,"['k-pop', 'k-pop girl group', 'pop']",40782301,blackpink
69, Selena Gomez,0C8ZW7ezQVs4URX5aX7Kqx,0,"['pop', 'post-teen pop']",42246229,selena gomez
71,Lady Gaga,1HY2Jd0NmPuamShAr6KMms,0,"['art pop', 'dance pop', 'pop']",26396005,lady gaga
74,Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,0,"['dance pop', 'pop', 'uk pop']",39760709,dua lipa
76,TWICE,7n2Ycct7Beij7Dj7meI4X0,1,"['k-pop', 'k-pop girl group', 'pop']",17544057,twice
77, Lindgren,0vk7Ds4u6waswHkzrfACVg,0,[],90,lindgren
79, Tommy Brown,0ctSbHMEV1hrOkGvEnciDr,0,[],214,tommy brown
81, ARMNHMR,0P2bZXPyjHYRW4guHVAFl1,0,"['melodic dubstep', 'pop edm']",96964,armnhmr
83, Tommy “TBHits” Brown,06moEoVtCKweJmGYid8vU7,0,[],5,tommy “tbhits” brown
85, Benny Benassi,4Ws2otunReOa6BbwxxpCt6,0,"['edm', 'electro house', 'pop dance']",538095,benny benassi
87, The Stereotypes,5fR4xhDybxRY7SwyUwQy34,0,[],215,the stereotypes
89, Yves V,47BEc2RoW53owMyxacXWdV,0,"['belgian edm', 'dutch house', 'edm', 'electro house', 'pop dance', 'progressive electro house', 'progressive house', 'slap house']",282355,yves v
91, LEE HAE SOL,5xZzq9Bk8IociNfF0TfHdf,0,[],59,lee hae sol
93, taalthechoi,0Wz3NC2nQgeV1titlYTj4C,0,[],84,taalthechoi
94,Stray Kids,2dIgFjalVxs4ThymZ67YCE,1,"['k-pop', 'k-pop boy group', 'pop']",11204838,stray kids
95,Alesso,4AVFqumd2ogHFlRbKIjp1t,0,"['dance pop', 'edm', 'pop', 'pop dance', 'tropical house']",3940482,alesso
97, Mike Williams,3IpvVrP3VLhruTmnququq7,0,"['big room', 'dutch house', 'edm', 'electro house', 'future house', 'pop dance', 'progressive electro house']",353799,mike williams
98, CORSAK,1TcbdifqhtxLz77unBYJ7z,0,['chinese electropop'],38063,corsak
106,SEVENTEEN,7nqOGRxlXj7N2JYbgNEjYH,1,"['k-pop', 'k-pop boy group']",9155169,seventeen
107,香取慎吾,23aPUZaR8bESXN4UD3T2Sx,0,[],20927,香取慎吾
110, Anne-Marie,1zNqDE7qDGCsyzJwohVaoX,0,"['hel', 'pop']",10830687,anne-marie
112,Pink Sweat$,1W7FNibLa0O0b572tB2w7t,0,['bedroom soul'],1679648,pink sweat$
115,Yoon Jong Shin,0hW1muryuCdZLfjoLrUhnw,0,['korean pop'],57128,yoon jong shin
118, AILEE,3uGFTJ7JMllvhgGpumieHF,1,['k-pop'],1094042,ailee
119,TOMORROW X TOGETHER,0ghlgldX5Dd6720Q3qFyQB,1,"['k-pop', 'k-pop boy group']",7966311,tomorrow x together
120, Coi Leray,6AMd49uBDJfhf30Ak2QR5s,0,"['new jersey underground rap', 'trap queen']",561082,coi leray
122, iann dior,6ASri4ePR7RlsvIQgWPJpS,0,['melodic rap'],1734756,iann dior
124,salem ilese,3QJUFtGBGL05vo0kCJZsmT,0,"['alt z', 'modern indie pop']",308932,salem ilese
126, Alan Walker,7vk5e3vY1uw9plTHJAMwjN,0,['electro house'],37874768,alan walker
128, Lilas Ikuta,1qM11R4ylJyQiPJ0DffE9z,0,"['j-pop', 'japanese teen pop']",430012,lilas ikuta
130, MOD SUN,3u2R8st1bb6zfBqNWceRXG,0,"['indie pop rap', 'minnesota hip hop']",276276,mod sun
131,ITZY,2KC9Qb60EaY0kW4eH68vr3,1,"['k-pop', 'k-pop girl group']",5422873,itzy
132,Bebe Rexha,64M6ah0SkkRsnPGtGiRAbb,0,"['dance pop', 'pop']",8195745,bebe rexha
134, YEJI & RYUJIN of ITZY,4TYswX6bKUjM9rbEL7CMBH,0,[],4977,yeji & ryujin of itzy
136,Second Aunt KimDaVi,2XrCYhwuq6x15QFddD1gQv,0,['trot'],2501,second aunt kimdavi
139, DallasK,7uas0F5EhsZg6KDJ7yy7rW,0,"['complextro', 'electro house', 'pop edm', 'progressive electro house', 'sky room']",44314,dallask
141, Imad Royal,6OgklJh1e1Z9S1Q2IQsHgy,0,[],15184,imad royal
152, Sam Feldt,20gsENnposVs2I4rQ5kvrf,0,"['edm', 'pop dance', 'tropical house']",751868,sam feldt
153,(G)I-DLE,2AfmfGFbe0A0WsTYm0SDTx,1,"['k-pop', 'k-pop girl group']",5694888,(g)i-dle
155, MINNIE,2pHkxVNynHBwQHhGaoBIXX,0,[],86594,minnie
160, R3HAB,6cEuCEZu7PAE9ZSzLLc2oQ,0,"['dutch house', 'edm', 'electro house', 'pop dance', 'progressive electro house', 'slap house']",2472679,r3hab
162, Dimitri Vegas & Like Mike,73jBynjsVtofjRpdpRAJGk,0,"['belgian dance', 'belgian edm', 'big room', 'dutch house', 'edm', 'electro house', 'pop dance', 'progressive electro house']",3354069,dimitri vegas & like mike
166,K/DA,4gOc8TsQed9eqnqJct2c5v,0,['k-pop girl group'],1956117,k/da
167, Madison Beer,2kRfqPViCqYdSGhYSM9R0Q,0,['pop'],5708741,madison beer
169, Lexie Liu,6fs2or0cKLEM2xohWq8SoX,0,['chinese electropop'],128304,lexie liu
170, Jaira Burns,0tRFWXqKBBQcu5oFVOgVzX,0,['alt z'],433911,jaira burns
171, Seraphine,4TqlcgMFDryY96KWcvrhTv,0,[],112233,seraphine
172, League of Legends,47mIJdHORyRerp4os813jD,0,"['speedrun', 'video game music']",1601700,league of legends
176, Wolftyla,7qd6KGoABHifvXKeFNe2Yb,0,['trap queen'],61870,wolftyla
177, Bea Miller,1o2NpYGqHiCq7FoiYdyd1x,0,"['alt z', 'pop', 'talent show']",2995410,bea miller
185,Red Velvet,1z4g3DjTBBZKhvAroFlhOM,1,"['k-pop', 'k-pop girl group']",8364750,red velvet
186, aespa,6YVMFz59CuY7ngCxTxjpxE,1,"['k-pop', 'k-pop girl group']",3136068,aespa
188, PREP,31SBgHxc8eqZUk9MdveH42,0,[],254055,prep
190, nomad,2xPc9Yvp2U0uUYxZdvFLOz,0,[],18,nomad
192, Slom,0UswO8FFKS2tv6dzyNyJLD,0,[],21077,slom
194, Demicat,3Geym1qRlviofLxjf1L0BK,0,['korean electronic'],1055,demicat
196,Ellie Goulding,0X2BH1fck6amBIoJhDVmmJ,0,"['indietronica', 'metropopolis', 'pop', 'uk pop']",11942874,ellie goulding
197, Diplo,5fMUXHkw8R8eOP2RNVYEZX,0,"['edm', 'electro house', 'moombahton', 'pop dance', 'tropical house']",2550218,diplo
200,Raina,21dQ70DS91icGLN9J4mH7h,0,[],4380,raina
201, 리지,45hd8opei1aSAIMNfJccfK,0,[],52,리지
203, TAEYONG,6SKusTjOAPsTZ6kareKQdm,0,['k-pop'],1049443,taeyong
205, nævis,2067CjQ2nC56cRZX8goeHg,0,[],14794,nævis
207, BRLLNT,78EdVeIJjaqrSJdEaps9rt,0,['korean r&b'],6642,brllnt
209, Minit,6TXbTOTnLFaF1iHywOaV1m,0,[],9326,minit
211, Habstrakt,1YYJxpOXYk1z1WtqdeLMkn,0,"['bass house', 'dubstep', 'electro house', 'electronic trap', 'filthstep']",117998,habstrakt
213, IMLAY,4b7ZEkk5uXPlwX2IPuV7Q2,0,['korean hyperpop'],11454,imlay
215, Lionclad,2AGxU7q0xWss9jkiTPmxH7,0,['korean electronic'],3685,lionclad
216,LISA,5L1lO4eRHmJ7a0Q6csE5cT,1,['k-pop'],4452830,lisa
217,DJ Snake,540vIaP2JwjQb9dm3aArA4,0,"['edm', 'electronic trap', 'pop', 'pop dance']",8501091,dj snake
218, Ozuna,1i8SpTcr7yvPOmcqrbnVXY,0,"['puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']",36674952,ozuna
221,NCT DREAM,1gBUSTR3TyDdTVFIaQnc02,1,"['k-pop', 'k-pop boy group']",6513338,nct dream
222, JINBO,4PlxqkEk6seCManiTAPTWb,0,"['k-rap', 'korean r&b']",8034,jinbo
224, Hitchhiker,5ePDPFrSdmaieYrKrPDJPx,0,['korean hyperpop'],19133,hitchhiker
226, MINIMONSTER,3bN6HZ9ACZ6nqQheU5rp68,0,[],313,minimonster
228, Will Not Fear,3zQf6Ogadb67LzdBTHaZ0N,0,[],669,will not fear
234,PRETTYMUCH,5Y8eJDj37KhaEeqbVO7Ag1,0,"['boy band', 'pop']",1269454,prettymuch
237, HRVY,28y6CyJNkGNjJQKrlx4AmN,0,['pop'],1659970,hrvy
238,j-hope,0b1sIQumIAsNbqAoIClSpy,1,"['k-pop', 'k-rap']",14644327,j-hope
239, J. Cole,6l3HvQ5sa6mXTsMTB19rO5,0,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",20093571,j. cole
241, Becky G,4obzFoKoKRHIphyHzJ35G3,0,"['latin pop', 'latin viral pop', 'rap latina', 'reggaeton', 'urbano latino']",13378030,becky g
242,IU,3HqSLMAZ3g3d5poNaI7GOU,1,"['k-pop', 'pop']",7967603,iu
243,Agust D,5RmQ8k4l3HZ8JoPb4mNsML,0,['k-rap'],11679645,agust d
246, Kang Seungwon,48DsjCcpYJQWi5fulzyuBm,0,['korean pop'],1067,kang seungwon
250,Sung Si Kyung,7jFUYMpMUBDL4JQtMZ5ilc,0,['korean pop'],200425,sung si kyung
253, OHHYUK,68TCVp5t1Dxi2TvNuYoYK0,0,['korean pop'],53935,ohhyuk
255, Zion.T,5HenzRvMtSrgtvU16XAoby,1,"['k-pop', 'k-rap', 'korean r&b']",566228,zion.t
257,Ulala Session,2EFJSNZzGSfLXMfAaxbK2A,0,[],3719,ulala session
260, Kim Chang-Wan,2yMDYqTvjFeBZcGC4ZMMVH,0,[],245,kim chang-wan
262, Clon,3IvJqVgapy3AMUBmVGrvag,0,['classic k-pop'],6585,clon
264,HIGH4,3cpG0SJLIJ1qpQfjmlWlzo,0,['k-pop boy group'],61011,high4
267, FIESTAR,3IVjXrnR0npv1LY24kQSzd,0,"['k-pop', 'k-pop girl group']",153065,fiestar
269, ＦＰＭ,0TGGLJ8adXSsX0v9bNCEAa,0,[],10,ｆｐｍ
271, Pianist Kim Kwang Min,2iwYWSmPQBvAvoHtRCRT1Z,0,[],5,pianist kim kwang min
273, Chundung,52KEoFZCGGap8hZHtOgENt,0,[],33,chundung
275, Na Yun Gwon,0UCjY4RwfRkBzabQbwykhT,0,[],56,na yun gwon
277, MARIO,1wLXYnlqlJNSFfNlsqEsbC,0,[],49,mario
278,ATEEZ,68KmkJeZGfwe1OUaivBa2L,1,"['k-pop', 'k-pop boy group']",2852025,ateez
279,Pentatonix,26AHtbjWKiwYzsoGoUZq53,0,"['a cappella', 'viral pop']",3583498,pentatonix
282,Kim Jong Kook,60YNqzrSj7rJkuqHkpHPqG,0,['korean pop'],106122,kim jong kook
285, SEAN OH,7lCMxLzay3subrSfwEcZxc,0,[],84,sean oh
287, SPACECOWBOY,58Y3mQTF2ToepXQaS0RCIV,0,[],37,spacecowboy
289, Buddy,74zjHeFm4yooE7SuemoFan,0,['partyschlager'],5466,buddy
290,NCT 127,7f4ignuCJhLXfZ9giKT7rH,1,"['k-pop', 'k-pop boy group']",6636723,nct 127
291, No Identity,2ladxDWywuVgNTdsivk5vI,0,[],66,no identity
293, Viann,7yRs5f61v5AwXwVlUQ7bNE,0,[],1322,viann
295, Biicla,72heZIc2iMXdpDwsTjTcCQ,0,[],9804,biicla
299, Lodge Boy,4QwmzSTkQf1bayzLcPllow,0,[],55,lodge boy
301, Valentino Khan,0deIjoDjl9g9Zpw0sCIOHh,0,"['brostep', 'edm', 'electro house', 'electronic trap', 'moombahton']",230194,valentino khan
307,Ava Max,4npEfmQ6YuiwW1GpUmaq3F,0,['pop'],5886591,ava max
311, LAY,4o7tWrzQOqarDtTMWD2HV9,0,"['chinese electropop', 'chinese idol pop', 'k-pop']",1483963,lay
317,V,3JsHnjpbhX4SnySpvpa9DK,1,"['j-division', 'korean ost']",13096788,v
318, JIN,5vV3bFXnN6D6N3Nj4xRvaV,0,['k-pop'],5853812,jin
319,TAEYEON,3qNVuliS40BLgXGxhdBdqu,1,['k-pop'],2730862,taeyeon
320, ZHU,28j8lBWDdDSHSSt5oPlsX2,0,"['edm', 'electro house', 'tropical house']",827923,zhu
322, Moon Kyoo,1AhVoVOXXDOP5pkhUvoSjH,0,[],625,moon kyoo
324, GINJO,75vTLAnhUDaUwzjPCKvaJM,0,[],5652,ginjo
326,Lee Seung Chul,5Ecf8RR2UWFAvyeItabffF,0,['korean pop'],63148,lee seung chul
329, CHANMINA,2vjeuQwzSP5ErC1S41gONX,0,"['j-rap', 'josei rap']",597932,chanmina
331, MeloMance,6k4r73Wq8nhkCDoUsECL1e,0,"['k-pop', 'korean pop']",232563,melomance
333, LUCAS,6S3tOdgtc5qz16hwmMjEBN,0,[],48431,lucas
335, Verbal Jint,24sQuJhQ85ZygDG7sUVUxR,0,"['k-rap', 'korean old school hip hop']",71542,verbal jint
337, The One,3eAsBHDYXtCSn67Zynq3Qd,0,['korean pop'],8148,the one
338,PSY,2dd5mrQZvg6SmahdgVKDzh,1,"['k-rap', 'korean old school hip hop']",1628600,psy
341, 2 Chainz,17lzZA2AlOHwCwFALHttmp,0,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",7818478,2 chainz
342, Tyga,5LHRHt1k9lMyONurDHEdrp,0,"['hip hop', 'pop rap', 'rap', 'trap']",6813329,tyga
345, AFROJACK,4D75GcNG95ebPtNvoNVXhz,0,"['big room', 'dance pop', 'dutch house', 'edm', 'electro house', 'pop dance']",3993885,afrojack
347, G-DRAGON,30b9WulBM8sFuBo17nNq9c,1,"['k-pop', 'k-rap']",2893633,g-dragon
351, Leessang,0JGN9XIqm3vfg7hhPHjExI,0,['korean pop'],60715,leessang
352, Kim Jin Pyo,57YbQhFBBDksLzX08lqVnw,0,['k-rap'],623,kim jin pyo
354, Lena Park,7MNyflLAWpaH0EPw1fdORD,0,['korean pop'],35178,lena park
356, Yoon Do Hyun,6KsmQPHXE3qhzNNBPSZ0eB,0,"['korean pop', 'korean singer-songwriter']",32961,yoon do hyun
358, MC Hammer,2rblp9fJo16ZPTcKDtlmKW,0,"['hip hop', 'hip house']",577185,mc hammer
359,BIGBANG,4Kxlr1PRlDKEB0ekOCyHgX,1,"['k-pop', 'k-pop boy group']",5097708,bigbang
360, No Brain,6keuCA49b9am8lisSodCh7,0,"['k-rock', 'korean punk']",8603,no brain
362,GD&TOP,3e3oLJehq4vQl2H0FAJnvn,1,"['k-pop', 'k-rap']",606471,gd&top
363, Park Bom,3uHb6dRazmcaT15bMexUtt,1,['k-pop'],137063,park bom
365,TAEYANG,6udveWUgX4vu75FF0DTrXV,1,"['k-pop', 'korean r&b']",1051292,taeyang
369,MONSTA X,4TnGh5PKbSjpYqpIdlW5nz,1,"['k-pop', 'k-pop boy group']",4983585,monsta x
370,Play-N-Skillz,7MP4jhYmFEgb0AtiOkw55s,0,['chicano rap'],24037,play-n-skillz
372, Lil Jon,7sfl4Xt5KmfyDs2T3SVSMK,0,"['atl hip hop', 'crunk', 'dance pop', 'dirty south rap', 'old school atlanta hip hop', 'pop rap', 'southern hip hop', 'trap']",1413267,lil jon
373, Bun B,45a6gCQWq61lIUDmr1tKuO,0,"['dirty south rap', 'houston rap']",854184,bun b
374, Symba,06S3fr7xEES7e3QPXhu3ay,0,[],66557,symba
378, Öwnboss,37czgDRfGMvgRiUKHvnnhj,0,['brazilian edm'],66831,öwnboss
385, Jonasu,7u4ayw4QFEsolPxZgnPAMT,0,"['dutch edm', 'uk dance']",13796,jonasu
389, Sebastian Yatra,07YUOmWljBTXwIseAUd9TW,0,"['colombian pop', 'latin pop', 'reggaeton', 'reggaeton colombiano', 'urbano latino']",21528453,sebastian yatra
391, French Montana,6vXTefBL93Dj5IqAWq6OTv,0,"['hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",5011607,french montana
395, DVBBS,5X4LWwbUFNzPkEas04uU82,0,"['canadian electronic', 'dutch house', 'edm', 'electro house', 'pop dance', 'progressive electro house', 'slap house']",1039683,dvbbs
399, Quintino,1V3VTM7VspiQjcmRhC010n,0,"['dutch edm', 'dutch house', 'edm', 'electro house', 'pop dance', 'progressive electro house', 'slap house']",624742,quintino
404, Whee In,0BqRGrwqndrtNkojXiqIzL,0,"['k-pop', 'korean ost']",845224,whee in
406, Yella Diamond) (Performed by JooHeon,5KnPgqPc7aCvEfXrCs4QjV,0,[],3,yella diamond) (performed by jooheon
407,Kep1er,5R7AMwDeroq6Ls0COQYpS4,1,['k-pop'],1140149,kep1er
410,LOONA,52zMTJCKluDlFwMQWmccY7,1,"['k-pop', 'k-pop girl group']",2318345,loona
413, Kim Lip,1fsR8q6ObgP7rLBYdZZD7i,0,[],1825,kim lip
415, HaSeul,5clV5I50OxxG9JGGxeW0C9,0,[],1229,haseul
417, JinSoul,1rAZr0bwMTcobwrOFHhfJr,0,['korean ost'],10730,jinsoul
418,Jessi,64k5e9kV9MdukXjFrR5R37,1,['k-pop'],1695211,jessi
419,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,0,"['pop', 'uk pop']",111956794,ed sheeran
421, SUNMI,6MoXcK2GyGg7FIyxPU5yW6,1,['k-pop'],2610558,sunmi
423, BM,5lZV4z4dpX6IfTYlfUMvOE,0,[],39242,bm
424, nafla (나플라),7ckGYpVRexH6vHHrBuKJs0,0,[],0,nafla (나플라)
426, 朴宰範,2VrDFxXbEHomf7A8Q87uRA,0,[],18,朴宰範
429, nafla,3Zn6C68VCosoQrxu4D2Btr,0,['k-rap'],169887,nafla
431, Jay Park,4XDi67ZENZcbfKnvMnTYsI,1,"['k-pop', 'k-rap', 'korean r&b']",1941923,jay park
433, ILLSON,1o3mKG33qvuXI2s3HXTkYd,0,['k-rap'],10725,illson
436, Microdot,1ToWoFmtIc9NTPFy7lR690,0,['k-rap'],6392,microdot
438, CHANGMO,3hvinNZRzTLoREmqFiKr1b,1,"['k-rap', 'korean r&b']",295854,changmo
440, TAE JIN A,7Hm7HaPth1NwFOU9BJXbhG,0,['trot'],65,tae jin a
442, Hanhae,1CjHzclPOS2unF1vRtgurF,0,['k-rap'],25876,hanhae
443, DJ Juice,0bJKaJ5AdUz5nDFDRGfKPJ,0,[],891,dj juice
445, Kim Young-Im,2fhbmyZNyWccDt37X5asgX,0,"['joseon pop', 'korean minyo']",336,kim young-im
446, Crispi Crunch,10ec6gfQc8j9tzB8yq7MGF,0,['k-rap'],922,crispi crunch
448, KATIE,2nDC4PH8XE1gHeeAxVLXRO,0,['korean r&b'],235038,katie
449, WOOGIE,7C0lSOS41UnTbnF7bMSEWN,0,"['k-rap', 'korean r&b']",89261,woogie
451,Lewie,7tvCXmeh7MlNtmfKMN2H8Q,0,[],1939,lewie
454, Hwa Sa,7bmYpVgQub656uNTu6qGNQ,1,"['k-pop', 'korean talent show']",4013680,hwa sa
457, Paloalto,2Yv0nlRtzgPl6u0dsS2hFv,0,['k-rap'],44738,paloalto
458, Nucksal,6v5cGuRCZKq08nLI4WXJuB,0,['k-rap'],40841,nucksal
459, CRUCiAL STAR,4vdAgNz4vrUZVvS0CaVvGJ,0,"['k-rap', 'korean r&b']",70227,crucial star
460, Khundi Panda,32wJE7JooXm59HxYhy7caU,0,['k-rap'],18757,khundi panda
461, SUPERBEE,0Q5XzDpn7DCI5jlubok4xb,0,['k-rap'],84986,superbee
462, Juvie Train,2CEVA02kVlfCD2ASpvadw4,0,[],155,juvie train
463, KAMBO,2LE4iuwlb4vZMWKTw68g4i,0,[],264,kambo
464, Fana,4mUsQKPUlPpTe2C1MPW1QT,0,"['k-rap', 'korean old school hip hop']",5093,fana
465, QM,0wMU0ruU41VLCAdBaWBo1j,0,"['k-rap', 'korean underground rap']",6139,qm
468, Blase,6XsOOgLCtnkkOv2uhZXuB0,0,['k-rap'],25776,blase
469, 365LIT,65LSFEqRhq074aUBF1zF2e,0,"['k-rap', 'korean trap', 'korean underground rap']",5242,365lit
470, JUPITER,09KeT4dkVIveN5OpVOCPeU,0,[],257,jupiter
471, KHAN,13jYpBHek9LD68d1ZwWmu5,0,[],5854,khan
